#4FA,Apoyo_DM
vamo arriba graciela,Apoyo_DM
villar es una excelente vice,Apoyo_DM
"no importa con quien, el frente precisa seguir en el gobierno",Apoyo_DM
el frente amplio va a ganar,Apoyo_DM
daniel martinez hace todo bien,Apoyo_DM
los hijos de daniel martinez pueden vivir donde quieran,Apoyo_DM
al pelado le banco todo,Apoyo_DM
Daniel martinez vamos por el cuarto,Apoyo_DM
Algo positivo de las cualidades de Daniel Martínez tiene un estilo de liderazgo en base a consensos,Apoyo_DM
Daniel Martínez tiene que estar en la presidencia,Apoyo_DM
Que alegria la cara de daniel martinez,Apoyo_DM
El enemigo es la derecha y los intereses de quienes ella representa.,Apoyo_DM
Desde el domingo mi candidato es Daniel Martínez,Apoyo_DM
Si no queremos ni a bolsonaro ni a macri precisamos a daniel martinez,Apoyo_DM
Daniel Martínez gana la presidencia,Apoyo_DM
Vamos por el Cuarto Gobierno,Apoyo_DM
Nadie puede pensar que Daniel Martínez es tonto,Apoyo_DM
Los partidos tradicionales se corrieron al centro,Apoyo_DM
El Frente Amplio nos dio el fonasa,Apoyo_DM
Si ganaba Carolina le iban a decir Soberbia y déspota,Apoyo_DM
Las y los trabajadores votamos a Martínez.,Apoyo_DM
Estaria demas que Daniel Martínez sea presidente,Apoyo_DM
La mayor libertad posible a Daniel Martínez para definir quien lo acompañará en la formula.,Apoyo_DM
Bravo por el INGENIERO Daniel Martínez,Apoyo_DM
La IMM tuvo superávit en ésta Administración,Apoyo_DM
Graciela Villar dijo que quiere a Carolina Cosse siempre y en cualquier gobierno del FA,Apoyo_DM
Yo soy frente amplista y por eso voy a votar a Daniel Martinez,Apoyo_DM
Una jugada ganadora de Daniel Martínez,Apoyo_DM
El Frente Amplio gana el 4 gobierno.,Apoyo_DM
Martínez nos da garantías,Apoyo_DM
Soñé que Daniel Martínez era presidente 😊,Apoyo_DM
Que buena noticia para Uruguay! Arriba Daniel Martínez Presidente,Apoyo_DM
Daniel Martínez definió que el comando de campaña también estuviera integrado por los asesores de los tres precandidatos que participaron de la interna.,Apoyo_DM
MartinezPresidente,Apoyo_DM
DANIEL MARTÍNEZ PRESIDENTE,Apoyo_DM
villar es una gran candidata,Apoyo_DM
Uruguay se merece a graciela villar,Apoyo_DM
los frenteamplistas estamos orgullosos de daniel martinez,Apoyo_DM
Se viene el 4fa,Apoyo_DM
Vamos por el 4FA,Apoyo_DM
vamo arriba daniel,Apoyo_DM
villar es la mejor eleccion para el frente amplio,Apoyo_DM
Villar tiene lo que ni Cosse ni Martínez tienen una oratoria que mueve. Yo en esta lo banco al pelado,Apoyo_DM
Para mí que Daniel Martinez le embocó con su Vice.,Apoyo_DM
Daniel Martínez y Graciela Villar la formula del triunfo,Apoyo_DM
Daniel Martínez eligió bien a la vice,Apoyo_DM
Me pregunto hasta donde es esencial un título universitario,Apoyo_DM
Es más la fórmula debió ser Graciela Villar - Daniel Martínez.,Apoyo_DM
nuestra compañera graciela villar sera la que acompañe a daniel martinez en el nuevo gobierno,Apoyo_DM
los frenteamplistas tenemos a la vice del cuarto gobierno,Apoyo_DM
Excelente Vice VILLAR una mujer con más convicción que muchos,Apoyo_DM
Graciela Villar será la gran compañera de fórmula de Daniel Martínez,Apoyo_DM
Presidente Daniel Martinez - Vicepresidenta Graciela Villar 😊,Apoyo_DM
nuestra compañera frenteamplista graciela villar es lo mejor que nos pudo haber pasado,Apoyo_DM
Será que Daniel Martínez se está cobrando el ninguneo de la vez pasada,Apoyo_DM
No soy blanco pero escuchas hablar a Lacalle Pou y ya habla como Presidente de la República,Apoyo_LP
sin duda que lacalle pou es el que va a sacar al frente,Apoyo_LP
el mejor candidato es el del partido blanco,Apoyo_LP
"si no sabes a quien votar, vota a lacalle pou",Apoyo_LP
Preferirías que por inacción tuya gane Lacalle Pou si en el Frente Amplio no hubiera una fórmula paritaria?,Apoyo_LP
Todos tienen algo positivo la mujer que puso lacalle pou fue impulsora de la ley que nos permite tomarnos el día para realizarnos el pap,Apoyo_LP
Me gustan los que hacen agronomia deben ser todos militantes de lacalle pou,Apoyo_LP
Feliz día del padre Luis Lacalle Pou y a tu papá que os en un día genial !!!!,Apoyo_LP
Yo votaré de una a Lacalle Pou.,Apoyo_LP
14 años d gobierno que hicieron? Lacalle Pou presidente,Apoyo_LP
Estoy seguro que el próximo Presidente va a ser Luis Lacalle Pou,Apoyo_LP
tenes que votar a lacalle pou,Apoyo_LP
Ya nos van preparando para la posible llegada de los Lacalle Pou y Argimón.,Apoyo_LP
Así es. Votos para Lacalle Pou votos para Manini.,Apoyo_LP
Luis tenía planificada y dialogada la fórmula presidencial desde hace más de un año,Apoyo_LP
Estaba bastante seguro de votar en blanco hasta ahora que escuche el discurso de Lacalle Pou del domingo,Apoyo_LP
Voy a votar a Lacalle Pou luego del discurso que dio,Apoyo_LP
De última Lacalle Pou fue 3 veces diputado por canelones,Apoyo_LP
Esta señora está trabajando encubierta para Lacalle Pou,Apoyo_LP
Yo soy del Partido Nacional,Apoyo_LP
apoyo a Luis Lacalle Pou porque creo que es lo mejor para este pais,Apoyo_LP
Enciso se postula al Senado acompañando al lider Lacalle Pou.,Apoyo_LP
Lacalle Pou: invitación amplia a un gobierno multicolor buscando coincidencias en áreas clave.,Apoyo_LP
no veo que publiquen el ultimo dato de opcion consultores donde indica que daniel martineza ventaja a lacalle pou,Apoyo_LP
va a ganar lacalle pou,Apoyo_LP
lacalle pou tiene que ser nuestro presidente,Apoyo_LP
vamo arriba lacalle pou,Apoyo_LP
a ser nuestro presidente lacalle,Apoyo_LP
"se acabo el fa, se viene lp",Apoyo_LP
se viene lacalle pou presidente,Apoyo_LP
luis lacalle pou es el presidente,Apoyo_LP
lacalle pou tiene que ser el presidente,Apoyo_LP
muy buena decision de lacalle pou con argimon,Apoyo_LP
beatriz argimon la mejor vice presidenta,Apoyo_LP
beatriz argimon sin duda que es lo mejor que paso,Apoyo_LP
lacalle pou junto con argimon rumbo a octubre,Apoyo_LP
buena formula la de lacalle poy,Apoyo_LP
Lacalle Pou valores más conservadores ahora están siendo muy moderados,Apoyo_LP
Lacalle Pou No piensa continuar ni con la mitad de lo que deje el Frente Amplio,Apoyo_LP
"Desconoces por completo lo que proyecta Lacalle Pou, futuro presidene",Apoyo_LP
Lacalle Pou es un líder comprometido por ya tener ayer pronta a su vice,Apoyo_LP
Lacalle pou si me parece mal porque el todavia no me robó nada,Apoyo_LP
La esposa de Lacalle Pou,Apoyo_LP
Si o si el voto va para Talvi,Apoyo_LP
hoy me decidí que voy a votar por Lacalle Pou,Apoyo_LP
Es obvio q Lacalle Pou tiene claro q la prioridad es sacar al FA q ha fracasado antes de q haga mas daño.,Apoyo_LP
si queres voto a Lacalle Pou y te quedas contento,Apoyo_LP
Escuchen a Lacalle Pou que sabe,Apoyo_LP
Cada día más con Luis Lacalle Pou.,Apoyo_LP
Comparto totalmente con la reforma que propone Lacalle Pou,Apoyo_LP
Lo que dijo Lacalle Pou es lo mismo que haría el Frente Amplio de volver a ganar,Apoyo_LP
Vos gianina no podes hablar mucho que te encanta ensuciar la cancha tambien tirando mierda a Lacalle Pou,Apoyo_LP
la coalición que pide Lacalle Pou es la unica forma de sacar al Frente Amplio,Apoyo_LP
Lacalle Pou no lo promueve ni apoya,Apoyo_LP
Lacalle Pou y hasta Mieres gobernarian mejor,Apoyo_LP
va a ganar Luis Lacalle,Apoyo_LP
GANAR YA es con el Partido Nacional,Apoyo_LP
El Partido Nacional ofrece un modelo democrático inclusivo,Apoyo_LP
gran formula la del partido blanco,Apoyo_LP
Vamo arriba el partido nacional,Apoyo_LP
